#!/usr/bin/env python

e1: 1568,3716,b=0.80/32200,34357,b=0.98
e2: 0,2193,b=0.80/33112,35268,b=0.98
e3: 2973,5130,b=0.80/31194,33349,b=0.98
e4: 1708,3860,b=0.80/33112,35268,b=0.98
e5: 0,2193,b=0.80/33112,35268,b=0.98
e6: 2285,4434,b=0.80/33112,35268,b=0.98
e7: 0,2193,b=0.80/33112,35268,b=0.98
e8: 0,2193,b=0.80/33112,35268,b=0.98
e9: 0,2193,b=0.80/33112,35268,b=0.98
e10: 0,2193,b=0.80/33112,35268,b=0.98
e11: 0,2193,b=0.80/33112,35268,b=0.98
e12: 33112,35268,b=0.65
e13: 33112,35268,b=0.65
e14: 33112,35268,b=0.65
e15: 32416,34572,b=0.65
e16: 33112,35268,b=0.65
e17: 33112,35268,b=0.65
e18: 33112,35268,b=0.65
e19: 33112,35268,b=0.65
e20: 33112,35268,b=0.65
e21: 33112,35268,b=0.65
e22: 29923,32079,b=0.65

ed1: 0,2208,b=0.98
ed2: 0,2208,b=0.98
ed3: 0,2208,b=0.65
op1: 0,2208,b=0.80

m1: 0,1886,b=0.70
m2: 0,1886,b=0.70
m3: 0,1886,b=0.70
m4: 0,1886,b=0.70
m5: 0,1886,b=0.70
m6: 0,1886,b=0.70
m7: 0,1886,b=0.70
m8: 0,1886,b=0.70
